check,resolution,wave_area_m2
Fourier modes,40,0.004196286451615225
Fourier modes,80,0.004204553593531533
Fourier modes,160,0.004206748984915579
Axial stations,1001,0.004204549053460262
Axial stations,2001,0.004204553593531533
Axial stations,4001,0.004204555354881245
