x_m,body_radius_m,body_area_m2,wing_area_m2,fin_area_m2,total_area_m2,target_area_m2,min_radius_m
0.0,0.1,0.031415926535897934,0.0,0.0,0.031415926535897934,0.031415926535897934,0.1
0.0012,0.10000032212940117,0.03141612893609597,0.0,0.0,0.03141612893609597,0.03141612893609597,0.1
0.0024,0.10000128679108085,0.031416735055781145,0.0,0.0,0.031416735055781145,0.031416735055781145,0.1
0.0036,0.10000289138603943,0.03141774327359004,0.0,0.0,0.03141774327359004,0.03141774327359004,0.1
0.0048,0.100005133303126,0.031419151968159274,0.0,0.0,0.031419151968159274,0.031419151968159274,0.1
0.005999999999999999,0.10000800991920598,0.03142095951812544,0.0,0.0,0.03142095951812544,0.03142095951812544,0.1
0.0072,0.10001151859932936,0.03142316430212512,0.0,0.0,0.03142316430212512,0.03142316430212512,0.1
0.0084,0.10001565669689923,0.031425764698794934,0.0,0.0,0.031425764698794934,0.031425764698794934,0.1
0.0096,0.1000204215538407,0.03142875908677146,0.0,0.0,0.03142875908677146,0.03142875908677146,0.1
0.010799999999999999,0.10002581050077025,0.03143214584469131,0.0,0.0,0.03143214584469131,0.03143214584469131,0.1
0.011999999999999999,0.10003182085716526,0.03143592335119109,0.0,0.0,0.03143592335119109,0.03143592335119109,0.1
0.013199999999999998,0.10003844993153384,0.03144008998490737,0.0,0.0,0.03144008998490737,0.03144008998490737,0.1
0.0144,0.10004569502158502,0.03144464412447676,0.0,0.0,0.03144464412447676,0.03144464412447676,0.1
0.0156,0.10005355341439905,0.031449584148535874,0.0,0.0,0.031449584148535874,0.031449584148535874,0.1
0.0168,0.10006202238659782,0.031454908435721296,0.0,0.0,0.031454908435721296,0.031454908435721296,0.1
0.018,0.1000710992045156,0.03146061536466962,0.0,0.0,0.03146061536466962,0.03146061536466962,0.1
0.0192,0.10008078112436974,0.03146670331401744,0.0,0.0,0.03146670331401744,0.03146670331401744,0.1
0.020399999999999998,0.10009106539243151,0.03147317066240137,0.0,0.0,0.03147317066240137,0.03147317066240137,0.1
0.021599999999999998,0.10010194924519702,0.03148001578845801,0.0,0.0,0.03148001578845801,0.03148001578845801,0.1
0.022799999999999997,0.1001134299095581,0.03148723707082394,0.0,0.0,0.03148723707082394,0.03148723707082394,0.1
0.023999999999999997,0.10012550460297318,0.03149483288813576,0.0,0.0,0.03149483288813576,0.03149483288813576,0.1
0.025199999999999997,0.10013817053363817,0.03150280161903008,0.0,0.0,0.03150280161903008,0.03150280161903008,0.1
0.026399999999999996,0.10015142490065732,0.03151114164214349,0.0,0.0,0.03151114164214349,0.03151114164214349,0.1
0.027599999999999996,0.1001652648942137,0.03151985133611259,0.0,0.0,0.03151985133611259,0.03151985133611259,0.1
0.0288,0.10017968769574001,0.03152892907957398,0.0,0.0,0.03152892907957398,0.03152892907957398,0.1
0.03,0.10019469047808871,0.03153837325116425,0.0,0.0,0.03153837325116425,0.03153837325116425,0.1
0.0312,0.10021027040570243,0.03154818222952001,0.0,0.0,0.03154818222952001,0.03154818222952001,0.1
0.0324,0.10022642463478383,0.031558354393277845,0.0,0.0,0.031558354393277845,0.031558354393277845,0.1
0.0336,0.10024315031346533,0.03156888812107436,0.0,0.0,0.03156888812107436,0.03156888812107436,0.1
0.0348,0.1002604445819786,0.031579781791546156,0.0,0.0,0.031579781791546156,0.031579781791546156,0.1
0.036,0.10027830457282373,0.03159103378332982,0.0,0.0,0.03159103378332982,0.03159103378332982,0.1
0.0372,0.10029672741093801,0.03160264247506196,0.0,0.0,0.03160264247506196,0.03160264247506196,0.1
0.0384,0.10031571021386432,0.03161460624537917,0.0,0.0,0.03161460624537917,0.03161460624537917,0.1
0.039599999999999996,0.10033525009191935,0.031626923472918046,0.0,0.0,0.031626923472918046,0.031626923472918046,0.1
0.040799999999999996,0.10035534414836113,0.03163959253631519,0.0,0.0,0.03163959253631519,0.03163959253631519,0.1
0.041999999999999996,0.10037598947955632,0.0316526118142072,0.0,0.0,0.0316526118142072,0.0316526118142072,0.1
0.043199999999999995,0.10039718317514691,0.03166597968523067,0.0,0.0,0.03166597968523067,0.03166597968523067,0.1
0.044399999999999995,0.10041892231821652,0.0316796945280222,0.0,0.0,0.0316796945280222,0.0316796945280222,0.1
0.045599999999999995,0.1004412039854561,0.03169375472121838,0.0,0.0,0.03169375472121838,0.03169375472121838,0.1
0.046799999999999994,0.10046402524732921,0.031708158643455824,0.0,0.0,0.031708158643455824,0.031708158643455824,0.1
0.047999999999999994,0.1004873831682366,0.03172290467337112,0.0,0.0,0.03172290467337112,0.03172290467337112,0.1
0.049199999999999994,0.10051127480668029,0.03173799118960086,0.0,0.0,0.03173799118960086,0.03173799118960086,0.1
0.05039999999999999,0.10053569721542693,0.03175341657078166,0.0,0.0,0.03175341657078166,0.03175341657078166,0.1
0.05159999999999999,0.10056064744167076,0.0317691791955501,0.0,0.0,0.0317691791955501,0.0317691791955501,0.1
0.05279999999999999,0.10058612252719558,0.03178527744254278,0.0,0.0,0.03178527744254278,0.03178527744254278,0.1
0.05399999999999999,0.10061211950853635,0.03180170969039631,0.0,0.0,0.03180170969039631,0.03180170969039631,0.1
0.05519999999999999,0.10063863541713988,0.03181847431774727,0.0,0.0,0.03181847431774727,0.03181847431774727,0.1
0.05639999999999999,0.10066566727952486,0.03183556970323228,0.0,0.0,0.03183556970323228,0.03183556970323228,0.1
0.0576,0.10069321211744117,0.03185299422548792,0.0,0.0,0.03185299422548792,0.03185299422548792,0.1
0.0588,0.10072126694802842,0.0318707462631508,0.0,0.0,0.0318707462631508,0.0318707462631508,0.1
0.06,0.10074982878397364,0.0318888241948575,0.0,0.0,0.0318888241948575,0.0318888241948575,0.1
0.0612,0.10077889463366822,0.03190722639924464,0.0,0.0,0.03190722639924464,0.03190722639924464,0.1
0.0624,0.10080846150136406,0.0319259512549488,0.0,0.0,0.0319259512549488,0.0319259512549488,0.1
0.06359999999999999,0.10083852638732876,0.031944997140606585,0.0,0.0,0.031944997140606585,0.031944997140606585,0.1
0.0648,0.10086908628800006,0.0319643624348546,0.0,0.0,0.0319643624348546,0.0319643624348546,0.1
0.06599999999999999,0.10090013819613927,0.03198404551632943,0.0,0.0,0.03198404551632943,0.03198404551632943,0.1
0.0672,0.10093167910098397,0.03200404476366769,0.0,0.0,0.03200404476366769,0.03200404476366769,0.1
0.06839999999999999,0.10096370598839961,0.03202435855550594,0.0,0.0,0.03202435855550594,0.03202435855550594,0.1
0.0696,0.10099621584103041,0.03204498527048083,0.0,0.0,0.03204498527048083,0.03204498527048083,0.1
0.07079999999999999,0.10102920563844894,0.032065923287228924,0.0,0.0,0.032065923287228924,0.032065923287228924,0.1
0.072,0.10106267235730511,0.03208717098438683,0.0,0.0,0.03208717098438683,0.03208717098438683,0.1
0.07319999999999999,0.10109661297147397,0.032108726740591134,0.0,0.0,0.032108726740591134,0.032108726740591134,0.1
0.0744,0.10113102445220261,0.032130588934478455,0.0,0.0,0.032130588934478455,0.032130588934478455,0.1
0.07559999999999999,0.10116590376825585,0.03215275594468538,0.0,0.0,0.03215275594468538,0.03215275594468538,0.1
0.0768,0.10120124788606118,0.0321752261498485,0.0,0.0,0.0321752261498485,0.0321752261498485,0.1
0.078,0.10123705376985247,0.03219799792860442,0.0,0.0,0.03219799792860442,0.03219799792860442,0.1
0.07919999999999999,0.1012733183818127,0.03222106965958974,0.0,0.0,0.03222106965958974,0.03222106965958974,0.1
0.0804,0.10131003868221551,0.03224443972144106,0.0,0.0,0.03224443972144106,0.03224443972144106,0.1
0.08159999999999999,0.10134721162956582,0.03226810649279496,0.0,0.0,0.03226810649279496,0.03226810649279496,0.1
0.0828,0.10138483418073929,0.03229206835228806,0.0,0.0,0.03229206835228806,0.03229206835228806,0.1
0.08399999999999999,0.1014229032911206,0.03231632367855695,0.0,0.0,0.03231632367855695,0.03231632367855695,0.1
0.0852,0.10146141591474073,0.03234087085023822,0.0,0.0,0.03234087085023822,0.03234087085023822,0.1
0.08639999999999999,0.10150036900441299,0.032365708245968475,0.0,0.0,0.032365708245968475,0.032365708245968475,0.1
0.0876,0.10153975951186807,0.03239083424438432,0.0,0.0,0.03239083424438432,0.03239083424438432,0.1
0.08879999999999999,0.10157958438788771,0.032416247224122334,0.0,0.0,0.032416247224122334,0.032416247224122334,0.1
0.09,0.10161984058243746,0.03244194556381914,0.0,0.0,0.03244194556381914,0.03244194556381914,0.1
0.09119999999999999,0.101660525044798,0.03246792764211131,0.0,0.0,0.03246792764211131,0.03246792764211131,0.1
0.0924,0.10170163472369557,0.03249419183763545,0.0,0.0,0.03249419183763545,0.03249419183763545,0.1
0.09359999999999999,0.10174316656743096,0.03252073652902817,0.0,0.0,0.03252073652902817,0.03252073652902817,0.1
0.0948,0.10178511752400742,0.032547560094926056,0.0,0.0,0.032547560094926056,0.032547560094926056,0.1
0.09599999999999999,0.10182748454125734,0.032574660913965714,0.0,0.0,0.032574660913965714,0.032574660913965714,0.1
0.0972,0.10187026456696774,0.03260203736478374,0.0,0.0,0.03260203736478374,0.03260203736478374,0.1
0.09839999999999999,0.10191345454900448,0.03262968782601672,0.0,0.0,0.03262968782601672,0.03262968782601672,0.1
0.0996,0.1019570514354353,0.032657610676301255,0.0,0.0,0.032657610676301255,0.032657610676301255,0.1
0.10079999999999999,0.10200105217465162,0.03268580429427396,0.0,0.0,0.03268580429427396,0.03268580429427396,0.1
0.102,0.10204545371548897,0.03271426705857142,0.0,0.0,0.03271426705857142,0.03271426705857142,0.1
0.10319999999999999,0.10209025300734641,0.03274299734783023,0.0,0.0,0.03274299734783023,0.03274299734783023,0.1
0.10439999999999999,0.10213544700030447,0.032771993540687,0.0,0.0,0.032771993540687,0.032771993540687,0.1
0.10559999999999999,0.10218103264524195,0.03280125401577831,0.0,0.0,0.03280125401577831,0.03280125401577831,0.1
0.10679999999999999,0.10222700689395148,0.03283077715174078,0.0,0.0,0.03283077715174078,0.03283077715174078,0.1
0.10799999999999998,0.10227336669925363,0.032860561327210984,0.0,0.0,0.032860561327210984,0.032860561327210984,0.1
0.10919999999999999,0.10232010901511003,0.03289060492082554,0.0,0.0,0.03289060492082554,0.03289060492082554,0.1
0.11039999999999998,0.10236723079673496,0.03292090631122103,0.0,0.0,0.03292090631122103,0.03292090631122103,0.1
0.11159999999999999,0.10241472900070576,0.03295146387703406,0.0,0.0,0.03295146387703406,0.03295146387703406,0.1
0.11279999999999998,0.10246260058507202,0.03298227599690123,0.0,0.0,0.03298227599690123,0.03298227599690123,0.1
0.11399999999999999,0.10251084250946337,0.03301334104945913,0.0,0.0,0.03301334104945913,0.03301334104945913,0.1
0.1152,0.10255945173519602,0.03304465741334437,0.0,0.0,0.03304465741334437,0.03304465741334437,0.1
0.11639999999999999,0.10260842522537808,0.03307622346719354,0.0,0.0,0.03307622346719354,0.03307622346719354,0.1
0.1176,0.10265775994501342,0.03310803758964323,0.0,0.0,0.03310803758964323,0.03310803758964323,0.1
0.11879999999999999,0.1027074528611045,0.033140098159330056,0.0,0.0,0.033140098159330056,0.033140098159330056,0.1
0.12,0.10275750094275357,0.0331724035548906,0.0,0.0,0.0331724035548906,0.0331724035548906,0.1
0.12119999999999999,0.1028079011612629,0.03320495215496147,0.0,0.0,0.03320495215496147,0.03320495215496147,0.1
0.1224,0.10285865049023346,0.03323774233817926,0.0,0.0,0.03323774233817926,0.03323774233817926,0.1
0.12359999999999999,0.1029097459056624,0.03327077248318056,0.0,0.0,0.03327077248318056,0.03327077248318056,0.1
0.1248,0.10296118438603939,0.03330404096860199,0.0,0.0,0.03330404096860199,0.03330404096860199,0.1
0.126,0.10301296291244126,0.03333754617308012,0.0,0.0,0.03333754617308012,0.03333754617308012,0.1
0.12719999999999998,0.10306507846862584,0.03337128647525157,0.0,0.0,0.03337128647525157,0.03337128647525157,0.1
0.1284,0.10311752804112403,0.03340526025375293,0.0,0.0,0.03340526025375293,0.03340526025375293,0.1
0.1296,0.10317030861933099,0.03343946588722079,0.0,0.0,0.03343946588722079,0.03343946588722079,0.1
0.1308,0.1032234171955957,0.03347390175429176,0.0,0.0,0.03347390175429176,0.03347390175429176,0.1
0.13199999999999998,0.10327685076530947,0.03350856623360243,0.0,0.0,0.03350856623360243,0.03350856623360243,0.1
