time_s,mach,q_pa,cl,reynolds,cd_parasite,cd_induced,cd_wave,cd_total,drag_n,speed_m_s,altitude_m,mass_kg,fuel_kg,thrust_n,fuel_flow_kg_s,excess_thrust_n,acceleration_force_n,acceleration_m_s2,climb_rate_m_s,specific_excess_power_m_s,throttle
0.0,0.8,31414.272542497896,0.062434359966371054,2822397.6008368996,0.023032903305474514,0.000551461169078079,0.0006886574074074087,0.02627302188196,99.04174438978828,262.8668427071567,3000.0,24.0,3.0,275.28713531871705,0.014009948864777553,176.24539092892877,176.24539092892877,7.343557955372032,0.0,196.8437635650981,1.0
0.008955230345268734,0.8002000777205784,31429.98774752602,0.06240281615498993,2823103.474435076,0.02303213647745377,0.0005509040786294318,0.0007020914283956205,0.02628513198447882,99.13696514571282,262.9325849555373,3000.0,23.999874540183882,2.9998745401838827,275.26877571120394,0.014009389892512669,176.13181056549112,176.13181056549112,7.338863804083104,0.0,196.76713563186192,1.0
0.017910460690537467,0.8004000272523005,31445.69680995669,0.0623713160686857,2823808.895783352,0.023031370370560893,0.0005503480413484204,0.0007156381046053362,0.02629735651651465,99.23264399059903,262.998285083168,3000.0,23.999749085372112,2.999749085372112,275.25042786660526,0.014008831228352376,176.01778387600623,176.01778387600623,7.334151005074022,0.0,196.68991315846503,1.0
0.02276628047398269,0.8005083926715266,31454.212193962958,0.06235425397422561,2824191.2086573984,0.02303095526427057,0.0005500469796906613,0.0007230304800141614,0.02630403272397539,99.28471522282409,263.03389217768125,3000.0,23.99968106174749,2.9996810617474905,275.2404839979965,0.01400852843167332,175.95576877517237,175.95576877517237,7.331587795790504,0.0,196.6477924438175,1.0
0.02687308331459137,0.8006000129807644,31461.41264205772,0.062339833769243555,2824514.444833625,0.023030604354667313,0.0005497925985529417,0.0007293082465540912,0.026309705199774346,99.32885901371908,263.06399710445277,3000.0,23.999623532008865,2.9996235320088664,275.23207670050743,0.01400827241303359,175.90321768678837,175.90321768678837,7.329415707383164,0.0,196.61203289853063,1.0
0.035844462215438834,0.800800064485519,31477.137571334217,0.062308364593503925,2825220.2259424534,0.02302983831652235,0.0005492376675577525,0.0007431037256042199,0.026322179709684326,99.42562462789388,263.1297307387448,3000.0,23.99949786099726,2.999497860997261,275.2137194986208,0.014007713363864619,175.7880948707269,175.7880948707269,7.324657202782921,0.0,196.5334826390131,1.0
0.04481584111628132,0.8009999858151385,31492.85619324471,0.06227693932975653,2825925.5477937963,0.02302907300622713,0.0005486837905255105,0.0007570107277493351,0.02633476752450198,99.5228455838006,263.19542159962845,3000.0,23.999372194999694,2.999372194999693,275.19537424191407,0.014007154628461017,175.67252865811346,175.67252865811346,7.319880171478615,0.0,196.45433943202568,1.0
0.049957198781164856,0.8011144987461398,31501.861429493725,0.06225894979710317,2826329.54907095,0.023028634747412017,0.0005483668469040214,0.0007650306854085051,0.026342032279724543,99.57876607765598,263.23304866540525,3000.0,23.9993001800307,2.999300180030701,275.1848662630033,0.014006834567909611,175.60610018534732,175.60610018534732,7.317134202582514,0.0,196.40871690533507,1.0
0.0537980704971763,0.8012000180229519,31508.587459806597,0.06224552005930847,2826631.2608230747,0.023028307500856448,0.000548130298465229,0.000771045760714767,0.026347483560036446,99.62063881166698,263.261148893263,3000.0,23.99924638203505,2.9992463820350497,275.1770188107606,0.014006595533139887,175.55637999909362,175.55637999909362,7.315078865580906,0.0,196.37450774705493,1.0
0.06279486538445438,0.8014002427791552,31524.337802802507,0.06221409398285604,2827337.6531624952,0.02302754148826169,0.0005475769659110602,0.0007852145851161949,0.026360333039288947,99.71904519899046,263.3269394551317,3000.0,23.99912037008589,2.999120370085892,275.1586457109089,0.01400603584951696,175.43960051191846,175.43960051191846,7.310251284484498,0.0,196.29395332669648,1.0
