design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0005,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,21.0,1.0,22.0,0.08,3000.0,0,300.0,0.8506507730568019,2696.8287499999997,85.55897899627283,0.9362969286389435,,,0.2213538526187873,0.00999999999990564,0.00999999999990564,0.0858472449537602,43030.28581784532,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0005,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,3000.0,0,300.0,0.8506507730568019,2696.8287499999997,60.96366226345641,0.8676496977199945,,,0.4376629110300061,0.010000000000133014,0.010000000000133014,0.0858472449537602,36951.82333447946,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0006,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000.0,0,300.0,0.6690370173436405,2696.8287499999997,20.095471873173704,1.0,20.095471873173704,0.8613292596452878,0.8200229441537187,34.73452294298205,34.73452294298205,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0006,False,False,time_limit,time_limit;reached_mach_1,gate_failed,baseline,21.0,1.0,22.0,0.08,6000.0,0,300.0,0.6690370173436405,2696.8287499999997,120.0,0.9581965167727947,,,0.17641541334192892,0.015547643718576865,0.015547643718576865,0.1274885816166593,30346.68674067894,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0006,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,6000.0,0,300.0,0.6690370173436405,2696.8287499999997,120.0,0.8840561749459418,,,0.16459393205885067,0.012971478814563397,0.012971478814563397,0.1274885816166593,25832.22590413225,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0007,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,18.0,3.0,21.0,0.08,0.0,0,300.0,1.1144041470401644,2574.245625,10.556178289955994,0.9573028505467166,,,2.8747611423829547,49.930588348945975,49.930588348945975,0.056709439766839356,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0007,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,18.0,3.0,21.0,0.08,0.0,0,300.0,1.1144041470401644,2574.245625,49.665929091387866,0.9181703159185131,,,2.4122403493046924,0.010000000000133014,0.010000000000133014,0.056709439766839356,59794.48759855209,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0007,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,3.0,21.0,0.08,0.0,0,300.0,1.1144041470401644,2574.245625,39.24876585062966,0.8530113340359113,,,2.5297789653036076,0.00999999999990564,0.00999999999990564,0.056709439766839356,51608.85880119494,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0008,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,3000.0,0,300.0,0.8911579527261734,2574.245625,18.72003590347555,1.0,18.72003590347555,2.8297208144446486,2.7656368857485543,27.629948267992432,27.629948267992432,0.08194509745586201,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0008,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,18.0,3.0,21.0,0.08,3000.0,0,300.0,0.8911579527261734,2574.245625,73.73432067210874,0.9364300780144914,,,2.3288103975445797,0.009999999999934062,0.009999999999934062,0.08194509745586201,43042.52523228674,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0008,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,18.0,3.0,21.0,0.08,3000.0,0,300.0,0.8911579527261734,2574.245625,54.69681087120998,0.867780152422974,,,2.4954407916874737,0.00999999999990564,0.00999999999990564,0.08194509745586201,36962.93588726262,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0009,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,6000.0,0,300.0,0.7008959229314329,2574.245625,19.103354832900784,1.0,19.103354832900784,2.8681739935725172,2.8276480351473343,34.952877299416926,34.952877299416926,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0009,False,False,time_limit,time_limit;reached_mach_1,gate_failed,baseline,18.0,3.0,21.0,0.08,6000.0,0,300.0,0.7008959229314329,2574.245625,120.0,0.9585200789389609,,,2.1765780656886218,0.013979040732152725,0.013979040732152725,0.12169364608862934,30367.185035891172,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0009,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,18.0,3.0,21.0,0.08,6000.0,0,300.0,0.7008959229314329,2574.245625,120.0,0.8843277599598255,,,2.164683014807431,0.011748704358069517,0.011748704358069517,0.12169364608862934,25848.099834419816,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0010,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,21.0,3.0,24.0,0.08,0.0,0,300.0,0.9751036286601439,2941.995,12.11484787888068,0.9573028505467166,,,2.8562704616853485,49.5816483929016,49.5816483929016,0.06481078830495927,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0010,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,baseline,21.0,3.0,24.0,0.08,0.0,0,300.0,0.9751036286601439,2941.995,60.1575551220529,0.917940825219695,,,2.288149070293145,0.010000000000019327,0.010000000000019327,0.06481078830495927,59764.60084745718,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0010,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,0.0,0,300.0,0.9751036286601439,2941.995,47.73800143728558,0.852784947297041,,,2.428087559717485,0.010000000000161435,0.010000000000161435,0.06481078830495927,51581.46875282622,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0011,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,3000.0,0,300.0,0.7797632086354017,2941.995,21.58695420332746,1.0,21.58695420332746,2.803650562103151,2.7354747276117513,27.17004940312549,27.17004940312549,0.09365153994955658,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0011,False,False,time_limit,time_limit;reached_mach_1,gate_failed,baseline,21.0,3.0,24.0,0.08,3000.0,0,300.0,0.7797632086354017,2941.995,120.0,0.9360282155067269,,,1.9084396427507446,0.01132434528622639,0.01132434528622639,0.09365153994955658,43005.59035363586,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0011,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,3000.0,0,300.0,0.7797632086354017,2941.995,120.0,0.8674358534501574,,,1.8936876552430668,0.010549682086349321,0.010549682086349321,0.09365153994955658,36933.61100309688,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
D0012,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,6000.0,0,300.0,0.6132839325650038,2941.995,22.11738039897146,1.0,22.11738039897146,2.8473805648714055,2.8044635360186243,34.26742678649559,34.26742678649559,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0012,False,False,time_limit,time_limit;reached_mach_1,gate_failed,baseline,21.0,3.0,24.0,0.08,6000.0,0,300.0,0.6132839325650038,2941.995,120.0,0.957501654384024,,,2.1760828515814796,0.019246962702993642,0.019246962702993642,0.13907845267271926,30302.689241112363,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,optimistic_only
