design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0015,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000.0,0,450.0,1.1620116617021126,2329.079375,12.832765682334422,1.0,12.832765682334422,0.8672962355706145,0.8083013770428945,41.018235386599144,41.018235386599144,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0017,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,3000.0,0,450.0,1.2759761595852028,2696.8287499999997,8.455104835040224,1.0,8.455104835040224,0.8842745210097194,0.8335487438905345,113.11876789918509,113.11876789918509,0.0858472449537602,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0017,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,3000.0,0,450.0,1.2759761595852028,2696.8287499999997,16.639543414592286,1.0,16.639543414592286,0.7734259018484757,0.6578297865486293,22.505328470657503,22.505328470657503,0.0858472449537602,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0018,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000.0,0,450.0,1.003555526015461,2696.8287499999997,9.74321483461141,1.0,9.74321483461141,0.8989413926962946,0.8634723834310971,102.08577591101484,102.08577591101484,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0018,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000.0,0,450.0,1.003555526015461,2696.8287499999997,14.995318843522053,1.0,14.995318843522053,0.844938321542436,0.7830162346410121,40.39448001100769,40.39448001100769,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0020,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,3000.0,0,450.0,1.3367369290892601,2574.245625,8.062116548643372,1.0,8.062116548643372,2.889653264418224,2.8393715880082313,113.2661717429491,113.2661717429491,0.08194509745586201,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0020,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,3000.0,0,450.0,1.3367369290892601,2574.245625,15.838226971090936,1.0,15.838226971090936,2.7843336365292024,2.6715070675155186,22.65117211306108,22.65117211306108,0.08194509745586201,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0021,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,6000.0,0,450.0,1.0513438843971494,2574.245625,9.28269684674005,1.0,9.28269684674005,2.903717880938477,2.8686361846933326,102.3049596074364,102.3049596074364,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0021,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,6000.0,0,450.0,1.0513438843971494,2574.245625,14.267923674403123,1.0,14.267923674403123,2.852458377995237,2.79152888403947,40.61252193366792,40.61252193366792,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0023,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,3000.0,0,450.0,1.1696448129531025,2941.995,9.245018310856384,1.0,9.245018310856384,2.873463232778547,2.8218392042472034,112.80340364094789,112.80340364094789,0.09365153994955658,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0023,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,3000.0,0,450.0,1.1696448129531025,2941.995,18.263490598909055,1.0,18.263490598909055,2.751321920802961,2.629987817147621,22.193351206556542,22.193351206556542,0.09365153994955658,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0024,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,6000.0,0,450.0,0.9199258988475059,2941.995,10.672363578699029,1.0,10.672363578699029,2.8893043093822843,2.853046592233349,101.6168511740601,101.6168511740601,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0024,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,6000.0,0,450.0,0.9199258988475059,2941.995,16.471740215743623,1.0,16.471740215743623,2.829675371071171,2.7657125055213263,39.9280411491132,39.9280411491132,0.13907845267271926,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0026,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,3000.0,0,600.0,1.969928106026278,2329.079375,4.755476904863562,1.0,4.755476904863562,0.9131434743783532,0.8644775295019567,199.18363233127752,199.18363233127752,0.07414080246006563,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0026,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,3000.0,0,600.0,1.969928106026278,2329.079375,6.415535481420762,1.0,6.415535481420762,0.883057050032244,0.8057859719637223,108.55736555426304,108.55736555426304,0.07414080246006563,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0027,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000.0,0,600.0,1.5493488822694834,2329.079375,5.601554495872317,1.0,5.601554495872317,0.9224836726152379,0.8887109700549574,170.07067726273613,170.07067726273613,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0027,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000.0,0,600.0,1.5493488822694834,2329.079375,7.060511829870925,1.0,7.060511829870925,0.9024373886805426,0.8498631524417517,108.3711279026952,108.3711279026952,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0027,True,True,target_reached,,hold_complete,pessimistic,18.0,1.0,19.0,0.08,6000.0,0,600.0,1.5493488822694834,2329.079375,14.637151074733657,1.0,14.637151074733657,0.7987950256473023,0.6824991146511709,19.79093285798004,19.79093285798004,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0029,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,3000.0,0,600.0,1.7013015461136038,2696.8287499999997,5.517313680970031,1.0,5.517313680970031,0.8992289191899572,0.8495448894023789,198.7613858769369,198.7613858769369,0.0858472449537602,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0029,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,3000.0,0,600.0,1.7013015461136038,2696.8287499999997,7.449166048191932,1.0,7.449166048191932,0.8642167451721507,0.7851234813571281,108.1364880256996,108.1364880256996,0.0858472449537602,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0030,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000.0,0,600.0,1.338074034687281,2696.8287499999997,6.509523584271441,1.0,6.509523584271441,0.9099188303369594,0.8752017920114019,169.4430232802793,169.4430232802793,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0030,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000.0,0,600.0,1.338074034687281,2696.8287499999997,8.213202634839174,1.0,8.213202634839174,0.8865101497328425,0.8325257374214282,107.74484756767006,107.74484756767006,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0030,True,True,target_reached,,hold_complete,pessimistic,21.0,1.0,22.0,0.08,6000.0,0,600.0,1.338074034687281,2696.8287499999997,17.17748521926977,1.0,17.17748521926977,0.7638937991670849,0.6369771061182758,19.172086601239442,19.172086601239442,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,passes_all_three_assumed_polars
D0032,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,3000.0,0,600.0,1.7823159054523467,2574.245625,5.26286123245384,1.0,5.26286123245384,2.9038763593719517,2.8545341350167868,198.9089987234603,198.9089987234603,0.08194509745586201,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
