time_s,mach,q_pa,cl,reynolds,cd_parasite,cd_induced,cd_wave,cd_total,drag_n,speed_m_s,altitude_m,mass_kg,fuel_kg,thrust_n,fuel_flow_kg_s,excess_thrust_n,acceleration_force_n,acceleration_m_s2,climb_rate_m_s,specific_excess_power_m_s,throttle,phase,required_throttle
7.79569825373218,1.0,49084.80084765296,0.057084735506301984,2880597.488877431,0.02297043891878951,0.0004610070803278549,0.034311342592592595,0.059742788591709964,234.59703040860134,328.58355338394585,3000.0,22.857900496236955,2.857900496236956,342.5795461744034,0.017901601327215758,107.98251576580205,107.98251576580205,4.724078477092809,0.0,158.28590726372153,1.0,accelerate_to_hold,
7.809355285598323,1.0001962044057084,49104.06404558899,0.05706173122859663,2881162.6747958213,0.02296983976384318,0.0004606355975504661,0.03432439843190185,0.05975487379329549,234.73657198256552,328.6480229247631,3000.0,22.857656017508074,2.8576560175080745,342.55954152670546,0.017901014086956567,107.82296954413994,107.82296954413994,4.717149013947526,0.0,158.0847381394615,1.0,accelerate_to_hold,
7.82132421396844,1.0003679202139082,49120.92607288597,0.05704160863857165,2881657.318921723,0.02296931550614239,0.00046031077225298103,0.03433572859667518,0.05976535487507055,234.85836628305088,328.7044459151936,3000.0,22.857441764629286,2.857441764629286,342.5420336922876,0.01790050009722415,107.6836674092367,107.6836674092367,4.711098841160415,0.0,157.90908559348455,1.0,accelerate_to_hold,
7.8230166734840605,1.0003921838187182,49123.30892657017,0.057038766086523675,2881727.2126008095,0.0229692414367449,0.00046026489610195896,0.03433732231300058,0.05976682864584744,234.8755509705078,328.71241853668,3000.0,22.857411468819027,2.8574114688190257,342.53955981885775,0.017900427466688164,107.66400884834997,107.66400884834997,4.710245033442216,0.0,157.88429655827179,1.0,accelerate_to_hold,
7.836708946257249,1.000588318850466,49142.57286405865,0.05701579546273421,2882292.198680743,0.022968642775348654,0.0004598942554445026,0.034350139168357816,0.059778676199150976,235.01423606669965,328.7768652823547,3000.0,22.85716637530395,2.85716637530395,342.51956224440386,0.017899840327164237,107.5053261777042,107.5053261777042,4.703353180902531,0.0,157.68419543196973,1.0,accelerate_to_hold,
7.843808429496354,1.0006899025308238,49152.55166698439,0.0570039033625094,2882584.8203752926,0.02296833276764138,0.0004597024300679364,0.03435673116876824,0.05978476636647755,235.0859054181503,328.81024400901254,3000.0,22.857039296767226,2.857039296767226,342.5092049553813,0.017899536210579787,107.42329953723097,107.42329953723097,4.699790648407571,0.0,157.58075488512068,1.0,accelerate_to_hold,
7.85042604052103,1.0007845220488047,49161.847275165506,0.05699282961116256,2882857.3811211875,0.02296804404676424,0.0004595238410365474,0.03436284285312488,0.05979041074092567,235.15256330918425,328.8413344264502,3000.0,22.856920845536482,2.8569208455364836,342.49955771980717,0.01789925293008544,107.34699441062293,107.34699441062293,4.69647662237872,0.0,157.48452729582945,1.0,accelerate_to_hold,
7.864169863949362,1.0009808202418657,49181.134800119726,0.056969865397488835,2883422.83720319,0.022967445169238574,0.0004591536022624132,0.0343754347279508,0.05980203349945179,235.29054966862512,328.905834784249,3000.0,22.856674845404495,2.8566748454044952,342.47954350971975,0.01789866519506643,107.18899384109463,107.18899384109463,4.689614502813202,0.0,157.28526794206965,1.0,accelerate_to_hold,
7.877913687377696,1.001176831991469,49200.39795470455,0.05694694741620988,2883987.468156887,0.022966847306217883,0.0004587842576271987,0.03438789026819096,0.059813521832036046,235.4279261766866,328.9702410214386,3000.0,22.856428853344703,2.8564288533447035,342.4595585048912,0.017898078264246844,107.03163232820461,107.03163232820461,4.68278019348338,0.0,157.0868062896755,1.0,accelerate_to_hold,
7.891657510806029,1.0013725584596282,49219.63683661544,0.05692407546598573,2884551.277329574,0.022966250453482735,0.00045841580298870216,0.03440020983510278,0.05982487609157422,235.56469400182408,329.0345535198377,3000.0,22.85618286934608,2.8561828693460796,342.4396025868447,0.01789749213438082,106.87490858502065,106.87490858502065,4.675973638991031,0.0,156.8891414066929,1.0,accelerate_to_hold,
7.891918605260528,1.0013762739649512,49220.002087610956,0.056923641406716345,2884561.9802048765,0.02296623912469046,0.00045840881196185603,0.03440044255889232,0.05982509049554463,235.5672863265777,329.0357743737793,3000.0,22.856178196411587,2.8561781964115864,342.4392237606163,0.01789748100727343,106.87193743403861,106.87193743403861,4.675844601649871,0.0,156.88539402908447,1.0,accelerate_to_hold,
7.905470066351457,1.0015689774906271,49238.94757455808,0.05690113530888307,2885117.081497037,0.02296565162954978,0.00045804639825177177,0.034412454379345876,0.05983615240714743,235.70153371510398,329.0990935829955,3000.0,22.855935663305445,2.8559356633054436,342.4195760563389,0.017896903877012506,106.7180423412349,106.7180423412349,4.669160952905887,0.0,156.691289828274,1.0,accelerate_to_hold,
7.919283952901526,1.0017651296119972,49258.235851260644,0.05687823903505987,2885682.1168052936,0.022965053759965656,0.0004576778486376581,0.034424563473462705,0.059847295082066015,235.83777409699192,329.16354594403913,3000.0,22.85568844156452,2.855688441564521,342.39957673945787,0.0178963163655018,106.56180264246595,106.56180264246595,4.6623755357408765,0.0,156.49422217242443,1.0,accelerate_to_hold,
7.9330978394515945,1.0019609970555214,49277.49990358476,0.05685538865518137,2886246.332071262,0.022964456898234568,0.0004573101856386287,0.03443653629257269,0.05985830337644589,235.97340310892477,329.22790476462455,3000.0,22.855441227933895,2.855441227933893,342.37960644781714,0.01789572965329333,106.40620333889237,106.40620333889237,4.655617989507148,0.0,156.2979565978119,1.0,accelerate_to_hold,
