time_s,mach,q_pa,cl,reynolds,cd_parasite,cd_induced,cd_wave,cd_total,drag_n,speed_m_s,altitude_m,mass_kg,fuel_kg,thrust_n,fuel_flow_kg_s,excess_thrust_n,acceleration_force_n,acceleration_m_s2,climb_rate_m_s,specific_excess_power_m_s,throttle
0.0,0.8,31414.272542497896,0.059832928301105585,2822397.6008368996,0.023032903305474514,0.0005064634695178884,0.0006886574074074087,0.026228024182399813,98.87211599005599,262.8668427071567,3000.0,23.0,3.0,275.28713531871705,0.014009948864777553,176.41501932866106,176.41501932866106,7.6702182316809155,0.0,205.59987859634361,1.0
0.00856603590088293,0.800199895587307,31429.973439989684,0.059802726623558684,2823102.83186944,0.023032137175402357,0.000505952306639472,0.000702079144003946,0.026240168626045772,98.9673363572963,262.93252510953977,3000.0,22.999879992667182,2.9998799926671826,275.26879242418613,0.01400939040137494,176.30145606688984,176.30145606688984,7.665320693981805,0.0,205.51994063651154,1.0
0.01713207180176586,0.8003996632445957,31445.668208075305,0.059772566768872624,2823807.6115652607,0.023031371765048214,0.0005054421091596275,0.0007156133329139556,0.0262524272071218,99.06301387341614,262.9981654762229,3000.0,22.999759990116868,2.999759990116867,275.25046126881807,0.014008832245444754,176.18744739540193,176.18744739540193,7.660403737739468,0.0,205.43938346251585,1.0
0.022574063558439855,0.8005265087000781,31455.635868865425,0.05975342798069413,2824255.1219517994,0.02303088587530358,0.0005051184824096771,0.0007242697671956886,0.026260274124908944,99.12403448276693,263.0398448067159,3000.0,22.99968375513174,2.9996837551317403,275.2388216281288,0.014008477810094764,176.11478714536184,176.11478714536184,7.6572699442472425,0.0,205.387884525085,1.0
0.02570399556955771,0.8005994396443054,31461.36758093314,0.05974242805929251,2824512.4221043168,0.023030606550420014,0.0005049325264780918,0.0007292688830506314,0.02626480795994874,99.15921332046791,263.06380871552176,3000.0,22.999639909867557,2.999639909867559,275.2321293112246,0.014008274015165396,176.07291599075666,176.07291599075666,7.65546402816576,0.0,205.35815234906468,1.0
0.034286175825946646,0.8007993257323713,31477.079494856036,0.059712295262329,2825217.6196235637,0.02302984114493685,0.0005044233006990987,0.000743052559419224,0.026277317005055173,99.25598355355848,263.12948799661046,3000.0,22.99951969073205,2.9995196907320523,275.21378728836663,0.014007715428421727,175.95780373480815,175.95780373480815,7.650499058278708,0.0,205.2762054446143,1.0
0.042868356082335586,0.8009990818900092,31492.785114172177,0.05968220447356579,2825922.358748651,0.023029076465988407,0.0005039150412032611,0.0007569475778411805,0.026289939085032847,99.35320827235388,263.19512458469745,3000.0,22.999399476389097,2.9993994763890974,275.19545718823383,0.014007157154842104,175.84224891587996,175.84224891587996,7.64551479252306,0.0,205.1936408796331,1.0
0.049972185138217225,0.8011643297603382,31505.780516036593,0.05965732885406587,2826505.3527396014,0.023028444059835968,0.0005034950638719169,0.000768532924434371,0.02630047204814226,99.43402797803105,263.2494223171193,3000.0,22.99929997357976,2.9992999735797605,275.18029365062046,0.014006695286447855,175.7462656725894,175.7462656725894,7.641374558115958,0.0,205.12483244867093,1.0
0.05145492822453131,0.8011988097378226,31508.49242403998,0.05965214033502204,2826626.9979967624,0.023028312124167075,0.0005034074877039939,0.0007709606219519644,0.026302680233823032,99.4509361055231,263.26075187064174,3000.0,22.999279205320615,2.9992792053206148,275.17712968587784,0.01400659891047909,175.72619358035473,175.72619358035473,7.6405087312346085,0.0,205.11041724330187,1.0
0.06006260442237609,0.8013988969225856,31524.231920125552,0.05962204452814785,2827332.904984554,0.023027546636424142,0.0005028996557108286,0.0007851189449318933,0.026315565237066865,99.54935779709875,263.32649722879773,3000.0,22.999158643459925,2.999158643459925,275.15876920990877,0.01400603961172606,175.60941141281,175.60941141281,7.635471111581143,0.0,205.02637113635515,1.0
0.06867028062022087,0.8015988518883711,31539.964941758248,0.05959199100427094,2828038.3455041894,0.023026781883604564,0.0005023927929315676,0.0007993877254207751,0.026328562401956905,99.64823221495381,263.3921991419723,3000.0,22.99903808641212,2.999038086412122,275.1404208666675,0.01400548063253193,175.49218865171372,175.49218865171372,7.630414280473532,0.0,204.94170768797034,1.0
0.07727795681807044,0.8017986741327049,31555.691441600997,0.05956197977099077,2828743.3177829413,0.023026017867049425,0.0005018868984156324,0.0008137664468622662,0.026341671212327326,99.74755785987658,263.45785744506065,3000.0,22.99891753417445,2.998917534174448,275.1220847022623,0.014004921974400777,175.37452684238576,175.37452684238576,7.625338304804738,0.0,204.85642824793456,1.0
0.08588563301591522,0.8019983631549019,31571.41137242336,0.059532010835562844,2829447.820054394,0.023025254588091588,0.0005013819712079113,0.000828254592753943,0.026354891152053445,99.84733322843039,263.5234719735459,3000.0,22.998796986744132,2.9987969867441326,275.10376076263725,0.014004363638832113,175.25642753420686,175.25642753420686,7.620243251645719,0.0,204.77053417391903,1.0
0.09449330921376,0.8021979184560668,31587.124687101797,0.05950208420490022,2830151.8505584467,0.02302449204805568,0.0005008780103487994,0.0008428516466591236,0.026368221705063602,99.94755681299856,263.5890425634993,3000.0,22.99867644411839,2.998676444118393,275.0854490935721,0.014003805627320884,175.13789228057354,175.13789228057354,7.615129188243472,0.0,204.68402683143114,1.0
0.09994437027643445,0.802324223267946,31597.072157241575,0.059483154177824925,2830597.4535559737,0.02302400953016039,0.0005005593618114339,0.000852151743730823,0.026376720635702643,100.01125742372392,263.630544247396,3000.0,22.998600109481547,2.9986001094815458,275.0738590636257,0.014003452418583948,175.0626016399018,175.0626016399018,7.611880758243602,0.0,204.62892700790204,1.0
0.10311337335725496,0.8023976264438166,31602.853938403638,0.05947215690732672,2830856.4197403127,0.023023729152429572,0.0005003742916713348,0.0008575783337780292,0.02638168177787894,100.04837230509034,263.65466332375325,3000.0,22.998555732822965,2.998555732822964,275.06712341362277,0.014003247138985509,175.01875110853243,175.01875110853243,7.609988781110721,0.0,204.59678177372365,1.0
0.11175482986101197,0.8025976944397052,31618.615470316676,0.05944219793695214,2831562.259029813,0.02302296510998628,0.000499870293713509,0.0008724501560187412,0.026395285559718526,100.1498861210331,263.7204023767607,3000.0,22.998434726789775,2.9984347267897737,275.04876469847045,0.014002687593853947,174.89887857743736,174.89887857743736,7.604816617093773,0.0,204.50870564988514,1.0
0.12039628636476898,0.8027976261626476,31634.370191968454,0.05941228162291714,2832267.617548768,0.023022201816238604,0.0004993672667704475,0.0008874301789875732,0.02640899926199662,100.25184708641073,263.7860966527193,3000.0,22.998313725590435,2.998313725590437,275.0304184880477,0.014002128379828708,174.77857140163695,174.77857140163695,7.599625498071157,0.0,204.42001561783778,1.0
0.1290377428685308,0.8029974211151097,31650.118056114392,0.0593824079708436,2832972.493541878,0.02302143927249365,0.0004988652098534031,0.0009025178805289738,0.026422822362876026,100.35425365929189,263.8517459881475,3000.0,22.998192729222087,2.9981927292220876,275.01208482800956,0.014001569498403844,174.65783116871768,174.65783116871768,7.594415492778831,0.0,204.33071309051837,1.0
0.1376791993722878,0.8031970788013744,31665.859015619677,0.05935257698601341,2833676.885260256,0.02302067748005025,0.0004983641219692741,0.0009177127386131984,0.026436754340632723,100.45710429372568,263.91735022016076,3000.0,22.998071737681844,2.9980717376818453,274.9937637638442,0.014001010951068742,174.5366594701185,174.5366594701185,7.589186670121737,0.0,204.24079948858116,1.0
