design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0023,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,3000.0,0,450.0,1.1696448129531023,2941.995,18.263490598909055,1.0,18.263490598909055,2.751321920802961,2.629987817147621,22.193351206556542,22.193351206556542,0.0936515399495565,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0023,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,3000.0,0,450.0,1.1696448129531023,2941.995,120.0,0.9256233838535972,,,1.3601673451362872,0.0113697754085819,0.0113697754085819,0.0936515399495565,42054.80934375641,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,baseline_pass_sensitive
D0024,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,6000.0,0,450.0,0.919925898847506,2941.995,10.672363578699027,1.0,10.672363578699027,2.8893043093822843,2.853046592233349,101.6168511740601,101.6168511740601,0.1390784526727192,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0024,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,6000.0,0,450.0,0.919925898847506,2941.995,16.471740215743623,1.0,16.471740215743623,2.829675371071171,2.7657125055213263,39.9280411491132,39.9280411491132,0.1390784526727192,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0024,False,False,time_limit,time_limit;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,6000.0,0,450.0,0.919925898847506,2941.995,120.0,0.948859653525662,,,1.763183030365303,0.018266841294519,0.018266841294519,0.1390784526727192,29758.15947368219,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,baseline_pass_sensitive
D0034,False,False,q_limit,q_limit;reached_mach_1,gate_failed,optimistic,21.0,3.0,24.0,0.08,0.0,0,600.0,1.950207257320288,2941.995,3.80607642447925,0.9573028505467166,,,2.9094966646884246,267.04132839317776,267.04132839317776,0.0648107883049592,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0034,False,False,q_limit,q_limit;reached_mach_1,gate_failed,baseline,21.0,3.0,24.0,0.08,0.0,0,600.0,1.950207257320288,2941.995,4.963862936862868,0.9573028505467166,,,2.8821195996830338,156.00532685318683,156.00532685318683,0.0648107883049592,65000.00000000001,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0034,False,False,insufficient_acceleration,insufficient_acceleration;reached_mach_1,gate_failed,pessimistic,21.0,3.0,24.0,0.08,0.0,0,600.0,1.950207257320288,2941.995,51.6946190287873,0.9542281965260936,,,1.7863236633810886,0.0099999999998203,0.0099999999998203,0.0648107883049592,64583.13804402552,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True,fails_all_three
D0035,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.08,3000.0,0,600.0,1.5595264172708034,2941.995,6.027870491840679,1.0,6.027870491840679,2.8899038703918927,2.8395287390744777,198.44556945400743,198.44556945400743,0.0936515399495565,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0035,True,True,target_reached,,hold_complete,baseline,21.0,3.0,24.0,0.08,3000.0,0,600.0,1.5595264172708034,2941.995,8.143302201084522,1.0,8.143302201084522,2.851564729572708,2.77123665457425,107.8217044916492,107.8217044916492,0.0936515399495565,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
