design_id,drag_case,total_installation_loss_pct,audit_basis,critical_fixed_body_fraction,controlling_mach,permitted_extra_constant_drag_area_m2,permitted_extra_wing_cd
D0027,optimistic,15,entry_mass,3.8418765559964214,1.0,0.005144736898523235,0.06430921123154044
D0027,optimistic,15,dry_mass_lower_drag_bound,3.846177826162758,1.0,0.0051504968189716735,0.06438121023714592
D0027,baseline,15,entry_mass,1.4558947463263365,1.0,0.003277895826853037,0.04097369783566296
D0027,baseline,15,dry_mass_lower_drag_bound,1.458453045419139,1.0,0.003283655747301475,0.041045696841268436
D0027,pessimistic,15,entry_mass,0.16760526200712586,1.0,0.0005972891940577727,0.007466114925722158
D0027,pessimistic,15,dry_mass_lower_drag_bound,0.1692215527177314,1.0,0.0006030491145062106,0.007538113931327633
D0027,optimistic,20,entry_mass,3.4837887885947687,1.0,0.004665214112455143,0.05831517640568929
D0027,optimistic,20,dry_mass_lower_drag_bound,3.4880900587611054,1.0,0.004670974032903581,0.05838717541129477
D0027,baseline,20,entry_mass,1.2429121679109174,1.0,0.002798373040784945,0.03497966300981181
D0027,baseline,20,dry_mass_lower_drag_bound,1.2454704670037198,1.0,0.0028041329612333832,0.03505166201541729
D0027,pessimistic,20,entry_mass,0.033046420164834577,1.0,0.00011776640798968104,0.0014720800998710131
D0027,pessimistic,20,dry_mass_lower_drag_bound,0.034662710875440136,1.0,0.0001235263284381191,0.0015440791054764885
D0027,optimistic,25,entry_mass,3.1257010211931147,1.0,0.00418569132638705,0.05232114157983813
D0027,optimistic,25,dry_mass_lower_drag_bound,3.130002291359451,1.0,0.004191451246835488,0.0523931405854436
D0027,baseline,25,entry_mass,1.0299295894954974,1.0,0.002318850254716852,0.02898562818396065
D0027,baseline,25,dry_mass_lower_drag_bound,1.0324878885882998,1.0,0.0023246101751652898,0.029057627189566122
D0027,pessimistic,25,entry_mass,-0.10151242167745719,1.0,-0.0003617563780784123,-0.0045219547259801535
D0027,pessimistic,25,dry_mass_lower_drag_bound,-0.09989613096685163,1.0,-0.00035599645762997425,-0.004449955720374678
D0030,optimistic,15,entry_mass,3.8275777389569847,1.0,0.005125589054870317,0.06406986318587897
D0030,optimistic,15,dry_mass_lower_drag_bound,3.8325765123935365,1.0,0.005132283016472557,0.06415353770590697
