case_id,design_id,drag_area_model,total_installation_loss_pct,installed_factor,fixed_body_fraction,wing_loading_kg_m2,full_gate_entry_min_excess_n,full_gate_dry_bound_min_excess_n,mach1_entry_cd,mach1_entry_drag_area_m2,mach1_thrust_n,level_hold_attempted,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit
D0027_pessimistic_original_wing_scaled_loss20,D0027,original_wing_scaled,20,0.8,0.0,237.5,3.902454411694009,4.092833214471909,0.09442869523233233,0.007554295618586586,253.58954099061555,False,True,False,target_reached,,fuel_exhausted,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,24.83532380429792,1.0,24.83532380429792,0.6598848037325903,0.0,3.968359946882572,3.968359946882572,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_pessimistic_fixed_body_50pct_loss20,D0027,fixed_body_50pct,20,0.8,0.5,237.5,-54.99128343159674,-54.800904628818785,0.11670160849386445,0.009336128679509156,253.58954099061555,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.4582107127242196,2329.079375,72.82614908229124,0.9531373307085451,,,0.0,0.012227107602654996,0.012227107602654996,0.11010377503256939,30027.0775136849,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0027_optimistic_original_wing_scaled_loss25,D0027,original_wing_scaled,25,0.75,0.0,237.5,138.35685924030406,138.54723804308196,0.03758559892651406,0.0030068479141211247,237.74019467870204,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,6.627705572609115,1.0,6.627705572609115,0.9083045968964757,0.8698557377768098,138.37474464588473,138.37474464588473,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_optimistic_fixed_body_50pct_loss25,D0027,fixed_body_50pct,25,0.75,0.5,237.5,116.22632623310436,116.41670503588226,0.04595510407513294,0.003676408326010635,237.74019467870204,True,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,7.226527570564652,1.0,7.226527570564652,0.9000732316752802,0.8538897698881484,116.24581295372678,116.24581295372678,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_original_wing_scaled_loss25,D0027,original_wing_scaled,25,0.75,0.0,237.5,76.65340840574223,76.84378720852013,0.06092111232239153,0.004873688985791323,237.74019467870204,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,8.885791689379818,1.0,8.885791689379818,0.8773012147669532,0.8162529171850442,76.6773215210502,76.6773215210502,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_baseline_fixed_body_50pct_loss25,D0027,fixed_body_50pct,25,0.75,0.5,237.5,39.44532681091911,39.63570561369704,0.07499276754989065,0.005999421403991252,237.74019467870204,True,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,11.785356370371664,1.0,11.785356370371664,0.8376100940330545,0.7554838071032356,39.476942277480674,39.476942277480674,0.11010377503256939,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0027_pessimistic_original_wing_scaled_loss25,D0027,original_wing_scaled,25,0.75,0.0,237.5,-11.946891900219498,-11.756513097441598,0.09442869523233233,0.007554295618586586,237.74019467870204,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,73.27393653922739,0.9861315513248183,,,0.0,0.01800311135013999,0.01800311135013999,0.11010377503256939,32141.9199130462,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0027_pessimistic_fixed_body_50pct_loss25,D0027,fixed_body_50pct,25,0.75,0.5,237.5,-70.84062974351025,-70.65025094073229,0.11670160849386445,0.009336128679509156,237.74019467870204,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,18.0,1.0,19.0,0.08,6000,0.0,600,1.3670725431789559,2329.079375,72.64412926209066,0.9409798736002424,,,6.591949208711867e-17,0.012295989051182232,0.012295989051182232,0.11010377503256939,29265.960025391298,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0030_optimistic_original_wing_scaled_loss15,D0030,original_wing_scaled,15,0.85,0.0,275.0,169.42267097922064,169.64392202028688,0.03782494697217552,0.0030259957577740415,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,6.509523584271441,1.0,6.509523584271441,0.9099188303369594,0.8752017920114019,169.4430232802793,169.4430232802793,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_optimistic_fixed_body_50pct_loss15,D0030,fixed_body_50pct,15,0.85,0.5,275.0,147.29213797202095,147.51338901308716,0.0461944521207944,0.003695556169663552,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.338074034687281,2696.8287499999997,6.9890738322274135,1.0,6.9890738322274135,0.9033236226810492,0.8618207250814618,147.31397706686255,147.31397706686255,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
